,nace_code,level,description
149,13.99,4,Manufacture of other textiles n.e.c.
150,14,2,Manufacture of wearing apparel
151,14.1,3,"Manufacture of wearing apparel, except fur apparel"
152,14.11,4,Manufacture of leather clothes
153,14.12,4,Manufacture of workwear
154,14.13,4,Manufacture of other outerwear
155,14.14,4,Manufacture of underwear
156,14.19,4,Manufacture of other wearing apparel and accessories
157,14.2,3,Manufacture of articles of fur
158,14.20,4,Manufacture of articles of fur
159,14.3,3,Manufacture of knitted and crocheted apparel
160,14.31,4,Manufacture of knitted and crocheted hosiery
161,14.39,4,Manufacture of other knitted and crocheted apparel
162,15,2,Manufacture of leather and related products
163,15.1,3,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
164,15.11,4,Tanning and dressing of leather; dressing and dyeing of fur
165,15.12,4,"Manufacture of luggage, handbags and the like, saddlery and harness"
166,15.2,3,Manufacture of footwear
167,15.20,4,Manufacture of footwear
168,16,2,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
169,16.1,3,Sawmilling and planing of wood
170,16.10,4,Sawmilling and planing of wood
171,16.2,3,"Manufacture of products of wood, cork, straw and plaiting materials"
172,16.21,4,Manufacture of veneer sheets and wood-based panels
173,16.22,4,Manufacture of assembled parquet floors
174,16.23,4,Manufacture of other builders' carpentry and joinery
175,16.24,4,Manufacture of wooden containers
176,16.29,4,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
177,17,2,Manufacture of paper and paper products
178,17.1,3,"Manufacture of pulp, paper and paperboard"
179,17.11,4,Manufacture of pulp
180,17.12,4,Manufacture of paper and paperboard
181,17.2,3,Manufacture of articles of paper and paperboard
182,17.21,4,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
183,17.22,4,Manufacture of household and sanitary goods and of toilet requisites
184,17.23,4,Manufacture of paper stationery
185,17.24,4,Manufacture of wallpaper
186,17.29,4,Manufacture of other articles of paper and paperboard
187,18,2,Printing and reproduction of recorded media
188,18.1,3,Printing and service activities related to printing
189,18.11,4,Printing of newspapers
190,18.12,4,Other printing
191,18.13,4,Pre-press and pre-media services
192,18.14,4,Binding and related services
193,18.2,3,Reproduction of recorded media
194,18.20,4,Reproduction of recorded media
195,19,2,Manufacture of coke and refined petroleum products
196,19.1,3,Manufacture of coke oven products
197,19.10,4,Manufacture of coke oven products
198,19.2,3,Manufacture of refined petroleum products
199,19.20,4,Manufacture of refined petroleum products
200,20,2,Manufacture of chemicals and chemical products
201,20.1,3,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
202,20.11,4,Manufacture of industrial gases
203,20.12,4,Manufacture of dyes and pigments
204,20.13,4,Manufacture of other inorganic basic chemicals
205,20.14,4,Manufacture of other organic basic chemicals
206,20.15,4,Manufacture of fertilisers and nitrogen compounds
207,20.16,4,Manufacture of plastics in primary forms
208,20.17,4,Manufacture of synthetic rubber in primary forms
209,20.2,3,Manufacture of pesticides and other agrochemical products
210,20.20,4,Manufacture of pesticides and other agrochemical products
211,20.3,3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
212,20.30,4,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
213,20.4,3,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
214,20.41,4,"Manufacture of soap and detergents, cleaning and polishing preparations"
215,20.42,4,Manufacture of perfumes and toilet preparations
216,20.5,3,Manufacture of other chemical products
217,20.51,4,Manufacture of explosives
218,20.52,4,Manufacture of glues
219,20.53,4,Manufacture of essential oils
220,20.59,4,Manufacture of other chemical products n.e.c.
221,20.6,3,Manufacture of man-made fibres
222,20.60,4,Manufacture of man-made fibres
223,21,2,Manufacture of basic pharmaceutical products and pharmaceutical preparations
224,21.1,3,Manufacture of basic pharmaceutical products
225,21.10,4,Manufacture of basic pharmaceutical products
226,21.2,3,Manufacture of pharmaceutical preparations
227,21.20,4,Manufacture of pharmaceutical preparations
228,22,2,Manufacture of rubber and plastic products
229,22.1,3,Manufacture of rubber products
230,22.11,4,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
231,22.19,4,Manufacture of other rubber products
232,22.2,3,Manufacture of plastics products
233,22.21,4,"Manufacture of plastic plates, sheets, tubes and profiles"
234,22.22,4,Manufacture of plastic packing goods
235,22.23,4,Manufacture of builders' ware of plastic
236,22.29,4,Manufacture of other plastic products
237,23,2,Manufacture of other non-metallic mineral products
